cohort,fee_bps,compare,cagr_left,cagr_right,cagr_delta,sharpe_left,sharpe_right,sharpe_delta,n_obs
start_2020_no_dot,0,daily_minus_monthly,0.5277653463487006,0.5934500237094531,-0.06568467736075245,0.9418007188381404,0.9897705124613523,-0.047969793623211854,2404
start_2020_no_dot,5,daily_minus_buyhold,0.5228772297968858,0.4062496083713907,0.1166276214254951,0.9376010735595912,0.8291518602687651,0.10844921329082613,2404
start_2020_no_dot,5,weekly_minus_buyhold,0.5550752224107962,0.4062496083713907,0.14882561403940553,0.9628022854352494,0.8291518602687651,0.1336504251664843,2404
start_2020_no_dot,5,monthly_minus_buyhold,0.5921846713358898,0.4062496083713907,0.18593506296449913,0.9887536601663719,0.8291518602687651,0.1596017998976068,2404
start_2020_no_dot,5,daily_minus_monthly,0.5228772297968858,0.5921846713358898,-0.06930744153900403,0.9376010735595912,0.9887536601663719,-0.05115258660678068,2404
start_2020_no_dot,10,daily_minus_buyhold,0.5180046179580295,0.40613919361716966,0.11186542434085989,0.9334012229528087,0.8290592649385464,0.10434195801426227,2404
start_2020_no_dot,10,weekly_minus_buyhold,0.5529096043770203,0.40613919361716966,0.14677041075985064,0.9609914280424515,0.8290592649385464,0.1319321631039051,2404
start_2020_no_dot,10,monthly_minus_buyhold,0.5909201520973695,0.40613919361716966,0.18478095848019982,0.9877366222833955,0.8290592649385464,0.1586773573448491,2404
start_2020_no_dot,10,daily_minus_monthly,0.5180046179580295,0.5909201520973695,-0.07291553413933993,0.9334012229528087,0.9877366222833955,-0.05433539933058684,2404
start_2020_no_dot,20,daily_minus_buyhold,0.5083057133139388,0.4059182186966215,0.10238749461731733,0.925000910810552,0.8288739451724891,0.09612696563806289,2404
start_2020_no_dot,20,weekly_minus_buyhold,0.5485869488401984,0.4059182186966215,0.14266873014357695,0.9573693386839025,0.8288739451724891,0.12849539351141337,2404
start_2020_no_dot,20,monthly_minus_buyhold,0.5883936110807393,0.4059182186966215,0.1824753923841178,0.9857019918435629,0.8288739451724891,0.15682804667107375,2404
start_2020_no_dot,20,daily_minus_monthly,0.5083057133139388,0.5883936110807393,-0.08008789776680048,0.925000910810552,0.9857019918435629,-0.06070108103301086,2404
