Date,full_common_12_buyhold_fee0,full_common_12_daily_fee0,full_common_12_weekly_fee0,full_common_12_monthly_fee0,start_2018_no_dot_buyhold_fee0,start_2018_no_dot_daily_fee0,start_2018_no_dot_weekly_fee0,start_2018_no_dot_monthly_fee0,start_2020_no_dot_buyhold_fee0,start_2020_no_dot_daily_fee0,start_2020_no_dot_weekly_fee0,start_2020_no_dot_monthly_fee0,exclude_dot_same_window_buyhold_fee0,exclude_dot_same_window_daily_fee0,exclude_dot_same_window_weekly_fee0,exclude_dot_same_window_monthly_fee0
2023-05-24,3.44723865919386,3.8091029242799817,4.2083652074123465,4.524625679466461,2.192954994449408,2.7248563929887477,3.1622388648808895,3.2410039898030467,7.564457950802423,9.273272281760303,10.207336313073839,11.212253897019474,3.595737187887311,3.7766232886881457,4.095942418404411,4.464889352586456
2023-05-25,3.448473512506777,3.805894184134661,4.204525814579993,4.521029039894599,2.1893447325118665,2.7230883775133905,3.159952128693023,3.2390317084098466,7.558564804937801,9.267255344888497,10.199954996757713,11.205430789178045,3.597574233525818,3.774172837194197,4.092980485371583,4.462172287682954
2023-05-26,3.466733807892802,3.8413481183467164,4.243424761964669,4.561364514221991,2.2039281395162065,2.7505711606100367,3.19164440216145,3.270185403516402,7.6064290835331905,9.360785165899072,10.302253939892841,11.31320700311176,3.61736816003379,3.812263695467618,4.13403042902911,4.505090408738225
2023-05-27,3.5246828414098754,3.8845987697893203,4.2909782834970605,4.6130586473212345,2.2380629232813116,2.7800892421202468,3.2257133364201014,3.30565986204803,7.720951332751023,9.46124154509898,10.412224465417692,11.435930898906802,3.677778019779315,3.853175456672978,4.178158782054427,4.553960923148256
2023-05-28,3.600859980869931,3.987091100212404,4.404030803796781,4.732977131742589,2.2948837053886444,2.852026883411639,3.3090401557957456,3.3899078615158724,7.910218828269403,9.706060808499126,10.681193669076505,11.727386868514175,3.7555299399186413,3.952880296947651,4.286089229011438,4.67002310541775
2023-05-29,3.5772767353368367,3.9667125701079584,4.381521241797734,4.70830734805717,2.2833695571482773,2.8383776237424536,3.2932037172947908,3.3732492201588955,7.85614339146708,9.659609442591371,10.630075502268873,11.669756295685055,3.7313032937540553,3.9339625616597895,4.265576818980402,4.64707373829036
2023-05-30,3.567505976729225,3.986360128019604,4.403899260344763,4.733955257458218,2.2741601271601355,2.8545179628857245,3.3124749268403018,3.394091166597558,7.837990017707093,9.71453848765247,10.692280707313735,11.741859013211348,3.721177310827883,3.956332907800836,4.29053817326266,4.675786132669984
2023-05-31,3.5262293813664995,3.9399598780895335,4.35304765705126,4.6787644713671055,2.240377173872126,2.8242766517964015,3.27767259599794,3.3578191211942796,7.749584923877643,9.611620802665367,10.579942863600518,11.61637586548758,3.6800972375663186,3.914418757743508,4.245459876129675,4.625816842342923
2023-06-01,3.5039718695113633,3.905862510836749,4.315062025987365,4.638273310186337,2.2161418604945413,2.8027863865302476,3.2523885498758376,3.3322690662503596,7.688210901299562,9.538484808514236,10.498328927034947,11.527985445724031,3.6591753837453096,3.884633468326761,4.212710295390994,4.590618438195312
2023-06-02,3.5903748727678577,4.011211320556101,4.431155770323143,4.763222416573549,2.2674704408520765,2.881870919100284,3.343767639324316,3.426120509799254,7.89320242436083,9.807626479864224,10.793289914435944,11.852664531890767,3.7512635217065857,3.9942438273341283,4.331070578917928,4.7199105687649485
