variant,window,fee_bps_per_fill,n_obs,total_return,cagr,vol,sharpe,max_dd,mean_return,mean_return_bps,hit_rate,tstat_mean,annualization_factor,risk_free_rate,vol_eps,sharpe_ddof
placebo_14-16_fee_5bps,14-16,5,696,-0.39171984316482633,-0.22948961913775268,0.20275865025236198,-1.1841448926451386,-0.49924777366498274,-0.0006577962195505654,-6.577962195505655,0.4410919540229885,-1.633995349761503,365.0,0.0,1e-12,0
placebo_14-16_fee_10bps,14-16,10,696,-0.696994675237796,-0.4653625165921874,0.20275865025236198,-2.9843146982031534,-0.710274482999323,-0.0016577962195505655,-16.577962195505656,0.3864942528735632,-4.118040257891134,365.0,0.0,1e-12,0
placebo_14-16_fee_20bps,14-16,20,696,-0.9249703801978216,-0.7428754116060342,0.20275865025236198,-6.584654309319183,-0.9249703801978216,-0.003657796219550566,-36.57796219550566,0.29022988505747127,-9.086130074150399,365.0,0.0,1e-12,0
placebo_16-18_fee_0bps,16-18,0,697,0.007429775818258433,0.003883912457351091,0.16717129134526926,0.10616593275061528,-0.2386241170240454,4.862437280765855e-05,0.4862437280765855,0.5050215208034433,0.14660317207372436,365.0,0.0,1e-12,0
placebo_16-18_fee_1bps,16-18,1,697,-0.12367251303633808,-0.06679734401387549,0.16717129134526923,-0.33051191673269387,-0.25909773257002033,-0.00015137562719234117,-1.5137562719234117,0.4878048780487805,-0.45639965802399785,365.0,0.0,1e-12,0
placebo_16-18_fee_5bps,16-18,5,697,-0.49840656355700763,-0.30324132193496134,0.16717129134526923,-2.0772233146659347,-0.5358377570444652,-0.000951375627192342,-9.51375627192342,0.42754662840746055,-2.8684109784148926,365.0,0.0,1e-12,0
placebo_16-18_fee_10bps,16-18,10,697,-0.7504339196995742,-0.5165824391089255,0.16717129134526923,-4.260612562082484,-0.7639290049353088,-0.001951375627192342,-19.51375627192342,0.3500717360114778,-5.883425128903508,365.0,0.0,1e-12,0
placebo_16-18_fee_20bps,16-18,20,697,-0.9383489465513813,-0.7675526212715171,0.16717129134526926,-8.627391056915581,-0.9399114552779214,-0.003951375627192342,-39.51375627192343,0.23385939741750358,-11.91345342988074,365.0,0.0,1e-12,0
placebo_18-20_fee_0bps,18-20,0,697,-0.11714941368732912,-0.06316609678920804,0.13473293910327755,-0.41667674668078225,-0.18393083696206158,-0.0001538084458528593,-1.538084458528593,0.5294117647058824,-0.575383564295095,365.0,0.0,1e-12,0
placebo_18-20_fee_1bps,18-20,1,697,-0.23205845567038574,-0.12913774377895815,0.13473293910327755,-0.9584893166867171,-0.2503289471293719,-0.00035380844585285913,-3.5380844585285915,0.5107604017216643,-1.323565578754216,365.0,0.0,1e-12,0
placebo_18-20_fee_5bps,18-20,5,697,-0.5604879958291404,-0.34982022110561617,0.13473293910327755,-3.125739596710461,-0.5650384918271503,-0.00115380844585286,-11.5380844585286,0.42037302725968434,-4.316293636590705,365.0,0.0,1e-12,0
placebo_18-20_fee_10bps,18-20,10,697,-0.781349324233798,-0.5489284771917274,0.13473293910327755,-5.834802446740137,-0.7817416580290069,-0.00215380844585286,-21.538084458528598,0.3170731707317073,-8.057203708886313,365.0,0.0,1e-12,0
placebo_18-20_fee_20bps,18-20,20,697,-0.9459994470761635,-0.7831340777818765,0.13473293910327755,-11.25292814679949,-0.9459994470761635,-0.00415380844585286,-41.5380844585286,0.1951219512195122,-15.539023853477529,365.0,0.0,1e-12,0
placebo_20-22_fee_0bps,20-22,0,697,0.27459682759349535,0.13548367695585295,0.11835723229947685,1.1329067428108945,-0.18285242159815074,0.0003673635795411308,3.673635795411308,0.533715925394548,1.56441636084835,365.0,0.0,1e-12,0
placebo_20-22_fee_1bps,20-22,1,697,0.10878167538662065,0.05556420613814406,0.11835723229947685,0.5161299005196727,-0.1976243916782312,0.00016736357954113092,1.6736357954113092,0.5193687230989957,0.7127171462433302,365.0,0.0,1e-12,0
placebo_20-22_fee_5bps,20-22,5,697,-0.3652279978251993,-0.21180028262298622,0.11835723229947685,-1.9509774686452184,-0.4086951750165414,-0.0006326364204588698,-6.326364204588698,0.43902439024390244,-2.6940797121767535,365.0,0.0,1e-12,0
placebo_20-22_fee_10bps,20-22,10,697,-0.684092765796364,-0.4530685243726301,0.11835723229947685,-5.034861680101329,-0.6880938252364942,-0.0016326364204588698,-16.3263642045887,0.351506456241033,-6.952575785201855,365.0,0.0,1e-12,0
placebo_20-22_fee_20bps,20-22,20,697,-0.9219215128284043,-0.7369436927346057,0.11835723229947685,-11.202630103013552,-0.9220070200746935,-0.00363263642045887,-36.3263642045887,0.20373027259684362,-15.469567931252056,365.0,0.0,1e-12,0
